# JokobeeTTS — Loanwords anglais universels avec IPA
# Source IPA : ipa-dict (open-dict-data, MIT license)
# Format : mot<TAB>IPA<TAB>catégorie
# Usage : lexique interne :free, chemin CharsiuG2P (fresitpt)
#
afterwork	ˈæftɝˌwɝk	lifestyle
app	ˈæp	tech
baby shower	ˈbeɪbi ˈʃaʊɝ	lifestyle
baby-sitting	ˈbeɪbi ˈsɪtɪŋ	lifestyle
backstage	ˈbækˈsteɪdʒ	lifestyle
backup	ˈbæˌkəp	tech
bandwidth	ˈbændwɪdθ	tech
barbecue	ˈbɑɹbɪkˌju	lifestyle
baseline	ˈbeɪˌsɫaɪn	lifestyle
batch	ˈbætʃ	tech
benchmark	ˈbɛntʃˌmɑɹk	business
best-seller	ˈbɛst ˈsɛɫɝ	business
bestseller	ˈbɛˈsɛɫɝ	lifestyle
big data	ˈbɪɡ ˈdætə	tech
bitcoin	ˈbɪtˈkɔɪn	tech
blockchain	ˈbɫɑkˈtʃeɪn	tech
blog	ˈbɫɔɡ	lifestyle
blogger	ˈbɫɔɡɝ	tech
bluetooth	ˈbɫuˌtuθ	tech
body	ˈbɑdi	lifestyle
bodyguard	ˈbɑdiˌɡɑɹd	lifestyle
booking	ˈbʊkɪŋ	lifestyle
boot	ˈbut	tech
brainstorming	ˈbɹeɪnˌstɔɹmɪŋ	business
brand	ˈbɹænd	business
branding	ˈbɹændɪŋ	business
briefing	ˈbɹifɪŋ	business
broker	ˈbɹoʊkɝ	business
browser	ˈbɹaʊzɝ	tech
brunch	ˈbɹəntʃ	lifestyle
budget	ˈbədʒɪt	business
buffer	ˈbəfɝ	tech
bug	ˈbəɡ	tech
burger	ˈbɝɡɝ	lifestyle
burnout	ˈbɝˌnaʊt	business
business	ˈbɪznəs	business
business plan	ˈbɪznəs ˈpɫæn	business
buyer	ˈbaɪɝ	business
byte	ˈbaɪt	tech
cache	ˈkæʃ	tech
camping	ˈkæmpɪŋ	lifestyle
cash	ˈkæʃ	business
cashback	ˈkæʃˌbæk	business
casual	ˈkæʒəwəɫ	lifestyle
ceo	ˈsiˌiˈoʊ	business
cfo	ˈsiˌɛˈfoʊ	business
challenge	ˈtʃæɫəndʒ	lifestyle
champion	ˈtʃæmpiən	lifestyle
chatbot	ˈtʃætˌbɑt	tech
check-in	ˈtʃɛk ˈɪn	lifestyle
checkout	ˈtʃɛˌkaʊt	lifestyle
chill	ˈtʃɪɫ	lifestyle
chip	ˈtʃɪp	tech
click	ˈkɫɪk	tech
clipboard	ˈkɫɪpˌbɔɹd	tech
cloud	ˈkɫaʊd	tech
club	ˈkɫəb	lifestyle
cluster	ˈkɫəstɝ	tech
coach	ˈkoʊtʃ	lifestyle
coaching	ˈkoʊtʃɪŋ	lifestyle
cocktail	ˈkɑkˌteɪɫ	lifestyle
code	ˈkoʊd	tech
codec	ˈkoʊˌdɛk	tech
comeback	ˈkəmˌbæk	lifestyle
comfort food	ˈkəmfɝt ˈfud	lifestyle
cookie	ˈkʊki	tech
cool	ˈkuɫ	lifestyle
copyright	ˈkɑpiˌɹaɪt	lifestyle
cottage	ˈkɑtədʒ	lifestyle
coworking	ˌkoʊˈwɝkɪŋ	business
cozy	ˈkoʊzi	lifestyle
cpu	ˌsiˌpiˈju	tech
crash	ˈkɹæʃ	tech
crew	ˈkɹu	lifestyle
crowdfunding	ˈkɹaʊdˌfəndɪŋ	business
cupcake	ˈkəpˌkeɪk	lifestyle
cursor	ˈkɝsɝ	tech
customizer	ˈkəstəˌmaɪzɝ	lifestyle
cyber	ˈsaɪbɝ	tech
dark	ˈdɑɹk	lifestyle
dashboard	ˈdæʃˌbɔɹd	tech
data	ˈdætə	tech
database	ˈdætəˌbeɪs	tech
date	ˈdeɪt	lifestyle
deadline	ˈdɛdˌɫaɪn	business
deal	ˈdiɫ	business
debug	diˈbəɡ	tech
default	dɪˈfɔɫt	tech
delivery	dɪˈɫɪvɝi	business
deploy	dɪˈpɫɔɪ	tech
design	dɪˈzaɪn	lifestyle
designer	dɪˈzaɪnɝ	lifestyle
desktop	ˈdɛskˌtɑp	tech
developer	dɪˈvɛɫəpɝ	tech
device	dɪˈvaɪs	tech
display	dɪsˈpɫeɪ	tech
disruptive	dɪsˈɹəptɪv	business
diy	ˌdiˌaɪˈwaɪ	lifestyle
dock	ˈdɑk	tech
domain	doʊˈmeɪn	tech
download	ˈdaʊnˌɫoʊd	tech
downsizing	ˈdaʊnˌsaɪzɪŋ	business
dress code	ˈdɹɛs ˈkoʊd	lifestyle
drive	ˈdɹaɪv	lifestyle
drone	ˈdɹoʊn	tech
e-commerce	ˈi ˈkɑmɝs	tech
e-learning	ˈi ˈɫɝnɪŋ	business
email	iˈmeɪɫ	tech
emoji	ɪˈmoʊdʒi	tech
encoding	ɛnˈkoʊdɪŋ	tech
entrepreneur	ˌɑntɹəpɹəˈnɝ	business
ethernet	ˈiθɝˌnɛt	tech
fair play	ˈfɛɹ ˈpɫeɪ	lifestyle
fan	ˈfæn	lifestyle
faq	ˌɛfˌeɪˈkju	tech
fashion	ˈfæʃən	lifestyle
fast-food	ˈfæst ˈfud	lifestyle
feedback	ˈfidˌbæk	business
file	ˈfaɪɫ	tech
fintech	ˈfɪnˌtɛk	business
firewall	ˈfaɪɹwɑɫ	tech
firmware	ˈfɝmˌwɛɹ	tech
fit	ˈfɪt	lifestyle
fitness	ˈfɪtnəs	lifestyle
